coluna,n_teste,n_producao,media_teste,media_producao,variancia_teste,variancia_producao,diferenca_media,diferenca_padronizada,ks,p_ks_iid_exploratorio,wasserstein,d_grade_por_motor,p_permutacao_motor,cauda_producao_fora_p01_p99_teste,motores,permutacoes,p01_teste,p05_teste,p50_teste,p95_teste,p99_teste,p01_producao,p05_producao,p50_producao,p95_producao,p99_producao,p_holm
temperatura_c,4200,4200,68.43559047619047,67.2286380952381,15.861365547896892,27.515466970684635,-1.206952380952373,-0.2591649198872693,0.13380952380952382,3.5271877937684734e-33,1.5575095238095242,0.1338095238095238,0.154,0.1595238095238095,25,1999,61.13,62.1,68.735,74.68,76.76020000000001,56.03,59.0395,67.0,76.041,79.0901,1.0
vibracao_rms,3792,3847,3.1271806434599156,3.063012477255004,0.5805856669109022,0.6325407439940437,-0.06416816620491161,-0.08239134586642191,0.1129374058804109,1.1368209576945016e-21,0.11256270578805995,0.10961686953659813,0.5745,0.02313491031972966,25,1999,1.79273,1.9701000000000002,3.1535,4.3199,4.756450000000001,1.74638,1.94,2.923,4.465,4.68786,1.0
pressao,4200,4200,3.899657707549877,3.9107476651274973,0.03986443438920604,0.04340087608274147,0.011089957577620435,0.05435166213072726,0.056428571428571384,3.094339399306679e-06,0.016695874043518317,0.05595238095238098,0.6495,0.024523809523809524,25,1999,3.458,3.575,3.898,4.22705,4.33701,3.43799,3.556996495401205,3.925295956921634,4.226373648974751,4.341010000000001,1.0
corrente_a,4200,4200,19.81817857142857,19.71525714285714,1.8439489797740958,2.0062067450073147,-0.10292142857143105,-0.07417911638821678,0.07690476190476192,3.1891904267927884e-11,0.15661666666666663,0.0769047619047619,0.6195,0.025714285714285714,25,1999,17.0399,17.6295,19.875,21.95,22.700100000000003,16.96,17.59,19.56,22.09,22.86,1.0
rpm,4200,4200,1756.8904047619046,1757.8205238095236,211.6715082905227,223.99635885868526,0.9301190476189731,0.06301961872187208,0.058809523809523756,9.763372058598554e-07,1.2035952380952388,0.05880952380952381,0.6765,0.017619047619047618,25,1999,1724.7,1733.5,1756.4,1780.8,1788.702,1725.4,1733.0,1758.6,1780.8,1788.401,1.0
idade_equipamento_meses,4200,4200,98.44,98.44,2722.334574898786,2722.334574898786,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,25,1999,6.0,15.0,107.0,165.0,171.0,6.0,15.0,107.0,165.0,171.0,1.0
horas_operacao,4200,4200,12568.3,12736.3,39203970.355322696,39203970.355322696,168.0,0.026831456958050875,0.05142857142857149,2.9859659176579972e-05,168.00000000000009,0.051428571428571435,0.877,0.04,25,1999,1433.99,2513.95,13595.5,20597.05,21317.010000000002,1601.99,2681.95,13763.5,20765.05,21485.010000000002,1.0
turno,4200,4200,2.0,2.0,0.6668254346272922,0.6668254346272922,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,25,1999,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0
