conjunto,versao,intervencao,campo,tipo,magnitude_maxima,linhas,mudancas,taxa_mudanca,ordens_abertas,ordens_canceladas,delta_proba_medio,delta_proba_maximo
producao,v1,permutacao,turno,feature_isolada,,4200,2,0.0004761904761904762,1,1,0.0014774057380952366,0.026208416666666706
producao,v1,OP-01_para_OP-07,id_operador,contrafactual,,4200,195,0.04642857142857143,195,0,0.08859311605555549,0.3283934
producao,v1,1_para_3,turno,contrafactual,,4200,4,0.0009523809523809524,3,1,0.003148750539682537,0.026208416666666706
producao,v2,temperatura_-0.4,temperatura_c,ruido_sensor,0.4000000000000057,4200,75,0.017857142857142856,7,68,0.013597489776785715,0.28483998749999995
producao,v2,temperatura_+0.4,temperatura_c,ruido_sensor,0.4000000000000057,4200,50,0.011904761904761904,49,1,0.013811162785714287,0.2602999999999999
producao,v2,permutacao,temp_media_6h,feature_isolada,,4200,572,0.1361904761904762,58,514,0.09441183096428571,0.5743365999999999
producao,v2,permutacao,temp_max_24h,feature_isolada,,4200,237,0.056428571428571425,6,231,0.04438338047023809,0.3730383125
producao,v2,permutacao,delta_temp_24h,feature_isolada,,4200,32,0.007619047619047619,12,20,0.00952746776785714,0.17061364999999984
producao,v2,permutacao,vib_media_6h,feature_isolada,,4200,36,0.008571428571428572,20,16,0.014889743854166668,0.1727704375000001
producao,v2,permutacao,vib_max_24h,feature_isolada,,4200,353,0.08404761904761905,25,328,0.05734393593452381,0.3968387874999999
producao,v2,permutacao,corrente_media_6h,feature_isolada,,4200,180,0.04285714285714286,10,170,0.04721912602678571,0.29652726249999994
producao,v2,permutacao,pressao,feature_isolada,,4200,48,0.011428571428571429,16,32,0.009192546648809521,0.1508136874999999
producao,v2,permutacao,rpm,feature_isolada,,4200,57,0.013571428571428571,11,46,0.017731542663690477,0.20822372499999997
producao,v2,permutacao,idade_equipamento_meses,feature_isolada,,4200,114,0.027142857142857142,25,89,0.03101692651488095,0.32755750000000006
producao,v2,permutacao,horas_operacao,feature_isolada,,4200,201,0.047857142857142855,55,146,0.04062274180059523,0.3773118624999999
producao,v2,permutacao,maquina_risco,feature_isolada,,4200,167,0.03976190476190476,36,131,0.03519187715773809,0.5212433499999997
producao,v2,permutacao,operador_senior,feature_isolada,,4200,109,0.025952380952380952,40,69,0.029233066258928568,0.37813526249999985
producao,v2,permutacao,turno,feature_isolada,,4200,9,0.002142857142857143,2,7,0.001085998976190476,0.023731424999999917
producao,v2,OP-01_para_OP-07,id_operador,contrafactual,,4200,289,0.0688095238095238,288,1,0.07698857952678571,0.3973660124999999
producao,v2,1_para_3,turno,contrafactual,,4200,15,0.0035714285714285713,4,11,0.002284786791666665,0.03243497499999992
